wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787750669.056,249.4,10.0,1.78,1.5,48.81,1.0,0.00,0.5,0.00,4.4,25.12,19.411,10.1,9.42,1.9,135.73,1.0,0.00,0.8,0.00,4.5,24.97,0.000
1787750671.283,251.6,10.0,1.49,1.5,29.17,1.0,0.00,0.5,0.00,4.5,23.73,18.256,10.1,14.20,4.5,26.25,1.0,0.00,0.8,0.00,4.5,22.73,0.000
1787750673.439,253.7,10.0,6.09,1.5,2.99,1.0,0.00,0.8,0.00,4.7,20.12,17.505,9.9,9.73,2.3,16.86,1.0,0.00,0.8,0.00,4.6,18.41,0.000
1787750675.613,255.9,10.0,7.97,1.6,2.76,1.0,0.00,0.8,0.00,4.6,20.09,16.902,10.2,26.32,1.4,108.28,1.6,404.07,0.8,0.00,4.7,15.78,15.237
1787750677.835,258.1,10.0,3.16,1.1,19.20,1.0,0.00,0.8,0.00,4.4,28.21,16.505,10.0,3.10,1.7,103.85,1.0,0.00,0.5,0.00,4.5,29.47,14.668
1787750680.060,260.4,10.0,3.35,0.9,0.00,0.5,0.00,0.8,0.00,4.6,22.52,16.466,10.0,2.47,1.6,26.12,1.0,0.00,0.5,0.00,4.6,22.08,14.057
1787750682.218,262.5,10.0,6.87,0.7,0.00,1.0,0.00,0.5,0.00,4.5,27.27,15.887,10.0,2.31,1.5,25.63,1.0,0.00,0.8,0.00,4.5,28.06,13.352
1787750684.534,264.8,10.0,4.93,0.9,0.00,1.0,0.00,0.5,0.00,4.4,20.69,15.292,10.0,3.81,1.4,41.02,1.0,0.00,0.8,0.00,4.4,20.63,12.661
1787750686.690,267.0,10.0,3.78,1.6,12.85,1.0,0.00,0.8,0.00,4.7,17.98,14.803,10.0,3.26,1.6,0.00,1.0,0.00,0.8,0.00,4.7,18.42,11.904
1787750689.011,269.3,10.0,12.22,2.2,25.08,1.0,0.00,0.8,0.00,4.2,43.33,14.136,10.0,2.09,1.4,69.11,1.0,0.00,0.8,0.00,4.1,44.36,10.943
