# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
   140.176256288               0.68 Joules power/energy-psys/                                                    
   141.177692633               7.68 Joules power/energy-pkg/                                                     
   141.177692633               3.31 Joules power/energy-cores/                                                   
   141.177692633               0.68 Joules power/energy-psys/                                                    
   142.178962266               7.27 Joules power/energy-pkg/                                                     
   142.178962266               3.21 Joules power/energy-cores/                                                   
   142.178962266               0.68 Joules power/energy-psys/                                                    
   143.180380153               7.11 Joules power/energy-pkg/                                                     
   143.180380153               3.05 Joules power/energy-cores/                                                   
   143.180380153               0.68 Joules power/energy-psys/                                                    
   144.181860101               7.15 Joules power/energy-pkg/                                                     
   144.181860101               3.07 Joules power/energy-cores/                                                   
   144.181860101               0.68 Joules power/energy-psys/                                                    
   145.184588720               7.84 Joules power/energy-pkg/                                                     
   145.184588720               3.51 Joules power/energy-cores/                                                   
   145.184588720               0.68 Joules power/energy-psys/                                                    
   146.186119900               6.87 Joules power/energy-pkg/                                                     
   146.186119900               2.84 Joules power/energy-cores/                                                   
   146.186119900               0.68 Joules power/energy-psys/                                                    
   147.187427991               7.69 Joules power/energy-pkg/                                                     
   147.187427991               3.42 Joules power/energy-cores/                                                   
   147.187427991               0.68 Joules power/energy-psys/                                                    
   148.188771399               7.24 Joules power/energy-pkg/                                                     
   148.188771399               3.09 Joules power/energy-cores/                                                   
   148.188771399               0.67 Joules power/energy-psys/                                                    
   149.190256763               7.22 Joules power/energy-pkg/                                                     
   149.190256763               3.08 Joules power/energy-cores/                                                   
   149.190256763               0.68 Joules power/energy-psys/                                                    
   150.191499320               7.16 Joules power/energy-pkg/                                                     
   150.191499320               3.09 Joules power/energy-cores/                                                   
   150.191499320               0.68 Joules power/energy-psys/                                                    
   151.192797852               7.43 Joules power/energy-pkg/                                                     
   151.192797852               3.16 Joules power/energy-cores/                                                   
   151.192797852               0.68 Joules power/energy-psys/                                                    
   152.194152791               7.07 Joules power/energy-pkg/                                                     
   152.194152791               3.03 Joules power/energy-cores/                                                   
   152.194152791               0.68 Joules power/energy-psys/                                                    
   153.195467671               7.62 Joules power/energy-pkg/                                                     
   153.195467671               3.35 Joules power/energy-cores/                                                   
   153.195467671               0.68 Joules power/energy-psys/                                                    
   154.196809322               6.81 Joules power/energy-pkg/                                                     
   154.196809322               2.83 Joules power/energy-cores/                                                   
   154.196809322               0.68 Joules power/energy-psys/                                                    
   155.198098893               7.26 Joules power/energy-pkg/                                                     
   155.198098893               3.15 Joules power/energy-cores/                                                   
   155.198098893               0.68 Joules power/energy-psys/                                                    
   156.199407160               7.59 Joules power/energy-pkg/                                                     
   156.199407160               3.34 Joules power/energy-cores/                                                   
   156.199407160               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   157.200256247               6.82 Joules power/energy-pkg/                                                     
   157.200256247               2.83 Joules power/energy-cores/                                                   
   157.200256247               0.68 Joules power/energy-psys/                                                    
   158.201582646               7.43 Joules power/energy-pkg/                                                     
   158.201582646               3.31 Joules power/energy-cores/                                                   
   158.201582646               0.68 Joules power/energy-psys/                                                    
   159.202909392               7.22 Joules power/energy-pkg/                                                     
   159.202909392               3.11 Joules power/energy-cores/                                                   
   159.202909392               0.68 Joules power/energy-psys/                                                    
   160.204295125               6.95 Joules power/energy-pkg/                                                     
   160.204295125               2.95 Joules power/energy-cores/                                                   
   160.204295125               0.68 Joules power/energy-psys/                                                    
   161.205744979               7.40 Joules power/energy-pkg/                                                     
   161.205744979               3.15 Joules power/energy-cores/                                                   
   161.205744979               0.68 Joules power/energy-psys/                                                    
   162.207092990               7.24 Joules power/energy-pkg/                                                     
   162.207092990               3.18 Joules power/energy-cores/                                                   
   162.207092990               0.68 Joules power/energy-psys/                                                    
   163.208397877               7.37 Joules power/energy-pkg/                                                     
   163.208397877               3.22 Joules power/energy-cores/                                                   
   163.208397877               0.67 Joules power/energy-psys/                                                    
   164.209699191               7.68 Joules power/energy-pkg/                                                     
   164.209699191               3.37 Joules power/energy-cores/                                                   
   164.209699191               0.68 Joules power/energy-psys/                                                    
   165.211108027               7.47 Joules power/energy-pkg/                                                     
   165.211108027               3.08 Joules power/energy-cores/                                                   
   165.211108027               0.68 Joules power/energy-psys/                                                    
   166.212491018               7.08 Joules power/energy-pkg/                                                     
   166.212491018               3.00 Joules power/energy-cores/                                                   
   166.212491018               0.68 Joules power/energy-psys/                                                    
   167.213321220               7.80 Joules power/energy-pkg/                                                     
   167.213321220               3.47 Joules power/energy-cores/                                                   
   167.213321220               0.68 Joules power/energy-psys/                                                    
   168.214663297               6.89 Joules power/energy-pkg/                                                     
