wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m
1788342495.975,409.000,359.8,10.00,1.02,14.86,16.11,1.68,8.50,2.50,0.00,0.97,0.00,1.42,10.00,1.25,2.01,1.87,19.14,3.31,9.17,5.00,0.00,13.428
1788342497.469,410.000,361.3,10.00,1.01,15.12,15.45,1.66,16.15,2.50,0.00,0.96,0.00,1.48,18.00,1.25,2.55,1.87,19.14,3.32,8.94,5.00,0.00,12.451
1788342498.953,411.000,362.8,10.00,0.98,14.74,11.77,1.67,12.13,2.50,0.00,0.96,0.00,1.45,0.00,1.25,0.29,1.86,16.44,3.35,4.28,5.00,0.00,11.888
1788342500.426,412.000,364.3,10.00,1.05,14.92,14.43,1.69,5.19,2.50,0.00,0.97,0.00,1.40,4.00,1.25,0.07,1.83,21.00,3.39,1.73,5.00,0.00,10.778
1788342501.926,413.000,365.8,10.00,0.83,15.04,14.27,1.66,21.69,2.50,0.00,0.97,0.00,1.46,24.00,1.25,0.23,1.86,18.57,3.34,9.59,5.00,0.00,10.424
1788342503.416,414.000,367.3,10.00,0.81,15.01,12.49,1.69,17.65,2.50,0.00,0.96,0.00,1.47,22.00,1.25,0.28,1.87,21.25,3.37,6.45,5.00,0.00,10.030
1788342504.885,415.000,368.7,9.99,0.84,14.74,15.13,2.27,144.99,3.12,97.98,0.97,0.00,1.42,0.00,1.25,0.25,1.87,19.87,3.41,4.06,5.00,0.00,9.436
1788342506.338,416.000,370.2,10.01,0.97,14.65,16.34,1.72,1.48,2.78,80.00,0.97,0.00,1.42,0.00,1.25,0.45,1.82,1.89,3.44,0.65,5.00,0.00,8.936
1788342507.829,417.000,371.7,10.00,1.03,14.86,14.63,1.70,7.36,2.50,0.00,0.96,0.00,1.41,12.00,1.25,0.14,1.85,12.36,3.38,16.47,5.00,0.00,7.936
1788342509.312,418.000,373.2,10.01,0.83,14.98,14.02,1.67,7.23,2.50,0.00,0.96,0.00,1.45,4.00,1.25,0.07,1.87,16.11,3.37,4.40,5.00,0.00,7.486
1788342510.771,419.000,374.6,10.00,1.04,14.68,14.46,1.72,9.35,2.50,0.00,0.96,0.00,1.39,2.00,1.25,1.13,1.85,14.97,3.43,2.29,5.00,0.00,6.486
1788342512.230,420.000,376.1,10.01,1.07,14.65,15.11,1.70,17.74,2.50,0.00,0.96,0.00,1.39,2.00,1.25,1.03,1.82,3.27,3.42,1.91,5.00,0.00,6.006
1788342513.746,421.000,377.6,10.01,0.97,15.04,16.25,1.66,21.31,2.50,0.00,0.97,0.00,1.41,10.00,1.25,0.95,1.87,9.43,3.32,8.87,5.00,0.00,5.611
1788342515.215,422.000,379.1,9.99,0.82,15.01,15.80,1.69,7.16,2.50,0.00,0.97,0.00,1.46,12.00,1.25,0.26,1.86,6.80,3.38,5.14,5.00,0.00,4.707
1788342516.679,423.000,380.5,10.00,0.98,14.74,15.53,1.71,12.39,2.50,0.00,0.97,0.00,1.43,4.00,1.25,0.37,1.82,8.64,3.42,2.24,5.00,0.00,4.334
1788342518.148,424.000,382.0,10.00,0.95,14.71,15.19,1.72,11.07,2.50,0.00,0.98,0.00,1.43,8.00,1.25,0.00,1.81,15.43,3.41,1.09,5.00,0.00,3.599
1788342519.665,425.000,383.5,10.01,1.03,14.80,15.31,1.66,46.80,2.50,0.00,0.97,0.00,1.48,18.00,1.25,0.15,1.87,26.20,3.31,26.71,5.00,0.00,3.206
1788342521.129,426.000,385.0,10.00,1.09,15.10,16.23,1.71,7.27,2.50,0.00,0.97,0.00,1.42,6.00,1.25,0.27,1.86,15.43,3.41,1.43,5.00,0.00,2.030
1788342522.605,427.000,386.5,10.01,0.96,14.80,15.59,1.71,10.46,2.50,0.00,0.97,0.00,1.42,6.00,1.25,2.08,1.87,25.92,3.39,1.68,5.00,0.00,1.494
1788342524.112,428.000,388.0,10.00,0.98,14.98,16.51,1.66,24.54,2.50,0.00,0.97,0.00,1.43,2.00,1.25,0.04,1.87,23.55,3.34,9.04,5.00,0.00,0.922
1788342525.619,429.000,389.5,10.00,0.92,15.12,16.09,1.32,139.59,2.22,86.60,0.98,0.00,1.47,4.00,1.11,99.65,1.73,44.58,3.28,17.80,5.00,0.00,0.121
1788342527.097,430.000,390.9,10.00,0.77,14.86,15.04,2.73,121.32,3.12,160.00,0.97,0.00,1.45,4.00,1.25,0.03,1.75,49.57,3.39,1.24,5.00,0.00,0.071
1788342528.573,431.000,392.4,10.00,0.91,14.68,15.84,3.40,4.16,5.00,0.00,0.97,0.00,1.45,4.00,1.25,0.02,1.87,18.57,3.38,1.68,5.00,0.00,0.100
