# started on Wed Sep  2 11:42:13 2026

#           time             counts   unit events
   161.223632128               4.75 Joules power/energy-pkg/                                                     
   161.223632128               1.21 Joules power/energy-cores/                                                   
   161.223632128               0.68 Joules power/energy-psys/                                                    
   162.224867127               4.99 Joules power/energy-pkg/                                                     
   162.224867127               1.28 Joules power/energy-cores/                                                   
   162.224867127               0.68 Joules power/energy-psys/                                                    
   163.225819176               5.01 Joules power/energy-pkg/                                                     
   163.225819176               1.26 Joules power/energy-cores/                                                   
   163.225819176               0.68 Joules power/energy-psys/                                                    
   164.226791893               5.28 Joules power/energy-pkg/                                                     
   164.226791893               1.37 Joules power/energy-cores/                                                   
   164.226791893               0.68 Joules power/energy-psys/                                                    
   165.228177862               4.96 Joules power/energy-pkg/                                                     
   165.228177862               1.25 Joules power/energy-cores/                                                   
   165.228177862               0.68 Joules power/energy-psys/                                                    
   166.229632782               5.28 Joules power/energy-pkg/                                                     
   166.229632782               1.22 Joules power/energy-cores/                                                   
   166.229632782               0.68 Joules power/energy-psys/                                                    
   167.231054643               5.21 Joules power/energy-pkg/                                                     
   167.231054643               1.22 Joules power/energy-cores/                                                   
   167.231054643               0.68 Joules power/energy-psys/                                                    
   168.232463819               5.19 Joules power/energy-pkg/                                                     
