# started on Wed Sep  2 11:56:28 2026

#           time             counts   unit events
   158.218823022               0.68 Joules power/energy-psys/                                                    
   159.220167977               6.25 Joules power/energy-pkg/                                                     
   159.220167977               2.13 Joules power/energy-cores/                                                   
   159.220167977               0.68 Joules power/energy-psys/                                                    
   160.221462219               5.78 Joules power/energy-pkg/                                                     
   160.221462219               1.87 Joules power/energy-cores/                                                   
   160.221462219               0.68 Joules power/energy-psys/                                                    
   161.222713137               5.76 Joules power/energy-pkg/                                                     
   161.222713137               1.89 Joules power/energy-cores/                                                   
   161.222713137               0.68 Joules power/energy-psys/                                                    
   162.225073755               5.59 Joules power/energy-pkg/                                                     
   162.225073755               1.77 Joules power/energy-cores/                                                   
   162.225073755               0.68 Joules power/energy-psys/                                                    
   163.226137667               5.73 Joules power/energy-pkg/                                                     
   163.226137667               1.84 Joules power/energy-cores/                                                   
   163.226137667               0.68 Joules power/energy-psys/                                                    
   164.228048316               6.92 Joules power/energy-pkg/                                                     
   164.228048316               2.42 Joules power/energy-cores/                                                   
   164.228048316               0.67 Joules power/energy-psys/                                                    
   165.229238409               7.48 Joules power/energy-pkg/                                                     
   165.229238409               2.64 Joules power/energy-cores/                                                   
   165.229238409               0.68 Joules power/energy-psys/                                                    
   166.231045057               6.83 Joules power/energy-pkg/                                                     
   166.231045057               2.50 Joules power/energy-cores/                                                   
   166.231045057               0.68 Joules power/energy-psys/                                                    
   167.232112937               6.05 Joules power/energy-pkg/                                                     
   167.232112937               2.01 Joules power/energy-cores/                                                   
   167.232112937               0.68 Joules power/energy-psys/                                                    
   168.233525740               6.20 Joules power/energy-pkg/                                                     
