wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m
1787757246.244,275.1,10.1,13.43,1.2,42.97,1.0,0.00,0.6,0.00,3.5,43.25,9.858,10.0,7.59,1.3,0.00,0.9,0.00,0.5,0.00,3.5,47.67,22.546,10.0,12.98,1.3,0.00,1.0,0.00,0.5,0.00,3.5,43.88,13.627
1787757249.345,278.2,10.0,8.58,1.0,0.00,1.0,0.00,0.5,0.00,1.9,335.36,9.199,10.0,8.28,1.2,0.00,1.0,0.00,0.5,0.00,3.1,57.33,21.915,9.9,16.60,1.1,0.00,1.0,0.00,0.5,0.00,1.9,335.97,12.853
1787757252.377,281.3,9.9,16.77,1.3,0.00,1.0,0.00,0.5,0.00,3.6,25.66,8.511,9.9,8.51,1.2,0.00,0.9,0.00,0.5,0.00,3.5,33.45,21.380,10.3,18.96,1.2,0.00,0.5,0.00,0.5,0.00,3.6,26.21,12.269
1787757255.399,284.3,10.0,6.98,1.1,0.00,1.0,0.00,0.5,0.00,3.2,30.87,7.822,10.0,17.14,1.1,0.00,0.5,0.00,0.5,0.00,3.2,34.40,21.061,10.0,4.37,1.1,0.00,1.0,0.00,0.5,0.00,3.2,34.56,11.615
1787757258.196,287.1,10.0,18.87,1.3,0.00,1.0,0.00,0.5,0.00,3.8,38.67,7.322,10.1,11.84,1.2,0.00,1.0,0.00,0.7,0.00,3.7,38.93,20.216,10.0,14.27,1.3,0.00,1.0,0.00,0.7,0.00,3.8,38.37,10.952
1787757261.352,290.2,10.0,5.87,1.2,0.00,1.0,0.00,0.6,0.00,3.3,51.61,6.603,10.0,12.28,1.0,0.00,0.9,0.00,0.6,0.00,3.3,46.84,19.670,10.1,4.07,1.0,0.00,1.0,0.00,0.6,0.00,3.3,51.63,10.224
1787757264.061,292.9,10.2,8.41,1.3,10.74,1.0,0.00,0.7,0.00,3.8,46.70,5.853,10.2,9.60,1.3,0.00,1.0,0.00,0.5,0.00,3.8,47.78,18.911,10.0,9.58,1.3,0.00,1.0,0.00,0.5,0.00,3.8,47.16,9.496
1787757267.398,296.3,10.0,15.30,1.8,0.00,1.0,0.00,0.5,0.00,3.0,78.21,5.142,10.0,26.07,1.5,138.52,1.0,0.00,0.5,0.00,3.0,73.52,18.652,10.0,2.28,1.1,0.00,1.0,0.00,0.5,0.00,3.0,74.64,8.768
1787757270.185,299.1,10.0,4.56,1.3,29.96,1.0,0.00,0.5,0.00,3.8,38.18,4.395,10.0,27.48,1.3,0.00,1.0,0.00,0.5,0.00,3.7,40.66,17.372,10.0,2.63,1.3,0.00,1.0,0.00,0.5,0.00,3.8,39.83,7.916
1787757273.420,302.3,10.3,27.07,1.1,0.00,1.0,0.00,0.5,0.00,3.4,41.94,3.833,10.1,12.36,1.0,0.00,1.0,0.00,0.5,0.00,3.4,41.62,16.771,9.9,7.58,1.1,0.00,1.0,0.00,0.5,0.00,3.4,41.52,7.249
